,prod_id,prod_desc,prod_long_desc,theme_name,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating,ages,piece_count,set_name,country,list_price
9682,10748,blah,blahblah,Juniors,2.0,5.0,Very Easy,5.0,4.0,4-7,67,Emma's Pet Party,NZ,14.192899999999998
9683,41328,blah,blahblah,Friends,2.0,4.5,Easy,5.0,5.0,6-12,95,Stephanie's Bedroom,NZ,14.192899999999998
9684,41327,blah,blahblah,Friends,3.0,2.3,Average,3.0,2.7,6-12,86,Mia's Bedroom,NZ,14.192899999999998
9685,75827,blah,blahblah,Ghostbusters™,130.0,4.7,Challenging,4.8,4.7,16+,4634,Firehouse Headquarters,NZ,425.9929
9686,21313,blah,blahblah,Ideas,83.0,3.7,Average,4.5,4.2,12+,962,Ship in a Bottle,NZ,106.4929
9687,21310,blah,blahblah,Ideas,79.0,4.8,Average,5.0,4.7,12+,2049,Old Fishing Store,NZ,212.9929
9688,21309,blah,blahblah,Ideas,367.0,4.6,Challenging,4.9,4.9,14+,1969,LEGO® NASA Apollo Saturn V,NZ,141.9929
9689,21308,blah,blahblah,Ideas,23.0,3.6,Easy,3.3,2.7,9+,496,Adventure Time™,NZ,63.89289999999999
9690,21312,blah,blahblah,Ideas,33.0,4.4,Easy,4.6,4.5,10+,231,Women of NASA,NZ,42.5929
9691,21314,blah,blahblah,Ideas,30.0,4.1,Easy,4.4,3.7,10+,230,TRON: Legacy,NZ,42.5929
9692,10757,blah,blahblah,Juniors,,,nan,,,4-7,85,Raptor Rescue Truck,NZ,35.4929
9693,10760,blah,blahblah,Juniors,,,nan,,,4-7,149,Underminer Bank Heist,NZ,35.4929
9694,10759,blah,blahblah,Juniors,,,nan,,,4-7,95,Elastigirl's Rooftop Pursuit,NZ,35.4929
9695,10756,blah,blahblah,Juniors,,,nan,,,4-7,84,Pteranodon Escape,NZ,28.3929
9696,10745,blah,blahblah,Juniors,1.0,5.0,Challenging,5.0,5.0,5-8,266,Florida 500 Final Race,NZ,63.89289999999999
9697,10734,blah,blahblah,Juniors,2.0,5.0,nan,5.0,4.0,4-7,175,Demolition Site,NZ,35.4929
9698,10746,blah,blahblah,Juniors,2.0,5.0,Easy,5.0,4.5,4-7,100,Mia's Farm Suitcase,NZ,31.9429
9699,10740,blah,blahblah,Juniors,1.0,,Easy,4.0,,4-7,110,Fire Patrol Suitcase,NZ,31.9429
9700,10754,blah,blahblah,Juniors,1.0,5.0,nan,4.0,4.0,4-7,125,Spider-Man vs. Scorpion Street Showdown,NZ,28.3929
9701,10739,blah,blahblah,Juniors,2.0,4.5,Easy,4.5,4.0,4-7,108,Shark Attack,NZ,28.3929
9702,10755,blah,blahblah,Juniors,,,nan,,,4-7,131,Zane's Ninja Boat Pursuit,NZ,28.3929
9703,10737,blah,blahblah,Juniors,2.0,4.0,Easy,4.5,4.0,4-7,63,Batman™ vs. Mr. Freeze™,NZ,17.7429
9704,10738,blah,blahblah,Juniors,2.0,5.0,Average,5.0,5.0,4-7,67,Snow White's Forest Cottage,NZ,17.7429
9705,10758,blah,blahblah,Juniors,,,nan,,,4-7,150,T. rex Breakout,NZ,63.89289999999999
9706,10761,blah,blahblah,Juniors,,,nan,,,4-7,178,The Great Home Escape,NZ,42.5929
9707,75930,blah,blahblah,Indoraptor Rampage at Lockwood Estate,2.0,5.0,Easy,5.0,4.0,8-12,1019,Indoraptor Rampage at Lockwood Estate,NZ,177.4929
9708,75929,blah,blahblah,Carnotaurus Gyrosphere Escape,1.0,,nan,5.0,,7-12,577,Carnotaurus Gyrosphere Escape,NZ,106.4929
9709,75933,blah,blahblah,T. rex Transport,,,nan,,,7-12,609,T. rex Transport,NZ,92.2929
9710,75932,blah,blahblah,Jurassic Park Velociraptor Chase,4.0,4.8,Average,5.0,4.3,6-12,360,Jurassic Park Velociraptor Chase,NZ,63.89289999999999
9711,75931,blah,blahblah,Dilophosaurus Outpost Attack,1.0,3.0,Easy,4.0,3.0,7-12,289,Dilophosaurus Outpost Attack,NZ,63.89289999999999
9712,75928,blah,blahblah,Blue's Helicopter Pursuit,,,nan,,,7-12,397,Blue's Helicopter Pursuit,NZ,63.89289999999999
9713,75927,blah,blahblah,Stygimoloch Breakout,2.0,4.5,Average,5.0,4.5,6-12,222,Stygimoloch Breakout,NZ,42.5929
9714,75926,blah,blahblah,Pteranodon Chase,1.0,3.0,Easy,4.0,2.0,6-12,126,Pteranodon Chase,NZ,28.3929
9715,76105,blah,blahblah,Marvel Super Heroes,52.0,3.2,Average,3.8,4.0,14+,1363,The Hulkbuster: Ultron Edition,NZ,177.4929
9716,76108,blah,blahblah,Marvel Super Heroes,7.0,4.8,Average,5.0,4.8,8-14,1004,Sanctum Sanctorum Showdown,NZ,141.9929
9717,76107,blah,blahblah,Marvel Super Heroes,17.0,4.9,Average,4.7,4.2,8-14,674,Thanos: Ultimate Battle,NZ,106.4929
9718,76103,blah,blahblah,Marvel Super Heroes,3.0,3.7,Average,4.0,3.7,7-14,416,Corvus Glaive Thresher Attack,NZ,49.6929
9719,76104,blah,blahblah,Marvel Super Heroes,13.0,4.7,Easy,4.8,4.7,7-14,375,The Hulkbuster Smash-Up,NZ,42.5929
9720,76102,blah,blahblah,Marvel Super Heroes,10.0,4.4,Easy,4.4,4.9,6-12,223,Thor's Weapon Quest,NZ,35.4929
9721,76101,blah,blahblah,Marvel Super Heroes,13.0,4.2,Easy,4.8,4.8,6-12,124,Outrider Dropship Attack,NZ,17.7429
9722,76078,blah,blahblah,Marvel Super Heroes,7.0,4.1,Easy,3.7,2.3,7-14,375,Hulk vs. Red Hulk,NZ,78.09289999999999
9723,76088,blah,blahblah,Marvel Super Heroes,6.0,4.7,Average,4.3,4.0,7-14,492,Thor vs. Hulk: Arena Clash,NZ,70.99289999999998
9724,76084,blah,blahblah,Marvel Super Heroes,6.0,4.8,Easy,4.3,4.5,7-14,400,The Ultimate Battle for Asgard,NZ,70.99289999999998
9725,76083,blah,blahblah,Marvel Super Heroes,23.0,4.4,Average,4.6,3.9,7-14,375,Beware the Vulture,NZ,42.5929
9726,76100,blah,blahblah,Marvel Super Heroes,7.0,4.7,Average,4.7,4.8,7-14,358,Royal Talon Fighter Attack,NZ,42.5929
9727,76077,blah,blahblah,Marvel Super Heroes,10.0,4.8,Easy,4.6,4.3,7-14,377,Iron Man: Detroit Steel Strikes,NZ,42.5929
9728,76082,blah,blahblah,Marvel Super Heroes,9.0,3.9,Easy,3.9,4.2,6-12,185,ATM Heist Battle,NZ,35.4929
9729,76099,blah,blahblah,Marvel Super Heroes,6.0,4.4,Easy,4.7,5.0,6-12,229,Rhino Face-Off by the Mine,NZ,35.4929
9730,76076,blah,blahblah,Marvel Super Heroes,10.0,3.9,Easy,3.7,3.9,6-12,160,Captain America Jet Pursuit,NZ,35.4929
9731,76091,blah,blahblah,Marvel Super Heroes,2.0,3.5,Easy,3.5,3.0,5-12,79,Mighty Micros: Thor vs. Loki,NZ,14.192899999999998
9732,76090,blah,blahblah,Marvel Super Heroes,,,nan,,,5-12,86,Mighty Micros: Star-Lord vs. Nebula,NZ,14.192899999999998
9733,76089,blah,blahblah,Marvel Super Heroes,,,nan,,,5-12,89,Mighty Micros: Scarlet Spider vs. Sandman,NZ,14.192899999999998
9734,31313,blah,blahblah,MINDSTORMS®,38.0,4.4,Challenging,4.3,3.7,10+,601,LEGO® MINDSTORMS® EV3,NZ,425.9929
9735,45500,blah,blahblah,MINDSTORMS®,1.0,5.0,Average,4.0,3.0,10-21,1,EV3 Intelligent Brick,NZ,191.6929
9736,45517,blah,blahblah,MINDSTORMS®,2.0,5.0,Very Easy,4.0,2.5,8+,1,Transformer 10V DC,NZ,35.4929
9737,45505,blah,blahblah,MINDSTORMS®,,,nan,,,10-21,1,EV3 Gyro Sensor,NZ,28.3929
9738,45504,blah,blahblah,MINDSTORMS®,4.0,3.0,Challenging,3.5,4.0,10+,1,EV3 Ultrasonic Sensor,NZ,28.3929
9739,45509,blah,blahblah,MINDSTORMS®,,,nan,,,10-21,1,EV3 Infrared Sensor,NZ,28.3929
9740,45502,blah,blahblah,MINDSTORMS®,2.0,5.0,nan,5.0,5.0,10-21,1,EV3 Large Servo Motor,NZ,24.1329
9741,45506,blah,blahblah,MINDSTORMS®,1.0,5.0,Very Easy,5.0,5.0,10-21,1,EV3 Color Sensor,NZ,24.1329
9742,45508,blah,blahblah,MINDSTORMS®,3.0,5.0,Average,5.0,3.3,10+,1,EV3 Infrared Beacon,NZ,24.1329
9743,9843,blah,blahblah,MINDSTORMS®,13.0,3.8,Very Easy,3.8,3.5,8+,1,Touch Sensor,NZ,22.365
9744,45503,blah,blahblah,MINDSTORMS®,1.0,5.0,Easy,5.0,,10-21,1,EV3 Medium Servo Motor,NZ,17.7429
9745,45507,blah,blahblah,MINDSTORMS®,,,nan,,,10-21,1,EV3 Touch Sensor,NZ,16.322899999999994
9746,45514,blah,blahblah,MINDSTORMS®,,,nan,,,10-21,7,EV3 Cable Pack,NZ,12.772899999999998
9747,21137,blah,blahblah,Minecraft™,11.0,4.3,Challenging,4.5,4.2,12+,2863,The Mountain Cave,NZ,319.4929
9748,21136,blah,blahblah,Minecraft™,2.0,5.0,Easy,5.0,4.0,8+,1122,The Ocean Monument,NZ,163.2929
9749,21134,blah,blahblah,Minecraft™,7.0,4.0,Average,4.1,3.7,8+,729,The Waterfall Base,NZ,127.7929
9750,21135,blah,blahblah,Minecraft™,1.0,5.0,Challenging,5.0,5.0,8+,717,The Crafting Box 2.0,NZ,99.3929
9751,21144,blah,blahblah,Minecraft™,4.0,4.7,Easy,4.8,4.3,8+,549,The Farm Cottage,NZ,78.09289999999999
9752,21143,blah,blahblah,Minecraft™,1.0,5.0,Average,5.0,5.0,8+,470,The Nether Portal,NZ,63.89289999999999
9753,21130,blah,blahblah,Minecraft™,6.0,4.2,Easy,4.7,4.2,8+,387,The Nether Railway,NZ,49.6929
9754,21142,blah,blahblah,Minecraft™,,,nan,,,8+,278,The Polar Igloo,NZ,42.5929
9755,21140,blah,blahblah,Minecraft™,4.0,4.5,Average,4.5,5.0,7-14,198,The Chicken Coop,NZ,28.3929
9756,21141,blah,blahblah,Minecraft™,2.0,5.0,Average,5.0,4.5,7-14,241,The Zombie Cave,NZ,28.3929
9757,21123,blah,blahblah,Minecraft™,16.0,4.4,Easy,4.6,4.4,8+,208,The Iron Golem,NZ,28.3929
9758,21129,blah,blahblah,Minecraft™,5.0,5.0,Average,4.6,4.8,8+,247,The Mushroom Island,NZ,28.3929
9759,21139,blah,blahblah,Minecraft™,,,nan,,,6-14,84,The Nether Fight,NZ,17.7429
9760,21138,blah,blahblah,Minecraft™,4.0,5.0,Easy,4.3,2.7,6-14,69,The Melon Farm,NZ,17.7429
9761,71020,blah,blahblah,Minifigures,13.0,4.3,Very Easy,4.8,4.0,5+,8,THE LEGO® BATMAN MOVIE Series 2,NZ,4.2529
9762,71021,blah,blahblah,Minifigures,14.0,4.5,Very Easy,4.6,4.3,5+,7,Series 18: Party,NZ,4.2529
9763,70357,blah,blahblah,NEXO KNIGHTS™,5.0,2.0,Challenging,2.6,1.8,9-14,1426,Knighton Castle,NZ,163.2929
9764,72006,blah,blahblah,NEXO KNIGHTS™,3.0,4.3,Challenging,4.0,4.0,8-14,604,Axl's Rolling Arsenal,NZ,70.99289999999998
9765,72005,blah,blahblah,NEXO KNIGHTS™,,,nan,,,8-14,569,Aaron's X-bow,NZ,56.7929
9766,72004,blah,blahblah,NEXO KNIGHTS™,3.0,5.0,Average,5.0,5.0,8-14,506,Tech Wizard Showdown,NZ,49.6929
9767,72003,blah,blahblah,NEXO KNIGHTS™,,,nan,,,8-14,369,Berserker Bomber,NZ,42.5929
9768,72002,blah,blahblah,NEXO KNIGHTS™,1.0,4.0,Easy,5.0,3.0,7-14,191,Twinfector,NZ,28.3929
9769,72001,blah,blahblah,NEXO KNIGHTS™,,,nan,,,7-14,217,Lance's Hover Jouster,NZ,28.3929
9770,70620,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,88.0,4.8,Challenging,4.9,4.8,16+,4867,NINJAGO® City,NZ,425.9929
9771,70618,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,52.0,4.7,Challenging,4.9,4.8,9-14,2295,Destiny's Bounty,NZ,212.9929
9772,70616,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,6.0,4.8,Average,4.8,4.7,9-14,914,Ice Tank,NZ,141.9929
9773,70656,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,9.0,4.6,Average,4.9,4.8,9-14,830,"garmadon, Garmadon, GARMADON!",NZ,120.6929
9774,70617,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,15.0,4.5,Average,4.8,4.8,9-14,1403,Temple of The Ultimate Ultimate Weapon,NZ,120.6929
9775,70632,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,11.0,4.7,Average,4.5,4.4,9-14,1202,Quake Mech,NZ,120.6929
9776,70613,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,8.0,4.3,Average,4.5,4.5,8-14,747,Garma Mecha Man,NZ,92.2929
9777,70643,blah,blahblah,NINJAGO®,6.0,3.8,Average,4.2,4.2,8-14,765,Temple of Resurrection,NZ,85.1929
9778,70615,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,19.0,3.6,Average,4.2,4.6,9-14,944,Fire Mech,NZ,85.1929
9779,70614,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,8.0,4.7,Average,5.0,4.6,9-14,876,Lightning Jet,NZ,85.1929
9780,70631,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,7.0,4.7,Average,4.3,5.0,8-14,521,Garmadon's Volcano Lair,NZ,70.99289999999998
9781,70612,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,29.0,4.6,Average,4.7,4.5,8-14,544,Green Ninja Mech Dragon,NZ,70.99289999999998
9782,70642,blah,blahblah,NINJAGO®,2.0,4.5,Average,4.0,4.5,8-14,556,Killow vs. Samurai X,NZ,63.89289999999999
9783,70640,blah,blahblah,NINJAGO®,,,nan,,,8-14,530,S.O.G. Headquarters,NZ,63.89289999999999
9784,70611,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,21.0,4.6,Average,4.5,4.8,8-14,494,Water Strider,NZ,56.7929
9785,70641,blah,blahblah,NINJAGO®,4.0,4.3,Challenging,4.8,4.3,9-14,552,Ninja Nightcrawler,NZ,56.7929
9786,70639,blah,blahblah,NINJAGO®,3.0,5.0,Average,4.7,4.3,7-14,308,Street Race of Snake Jaguar,NZ,42.5929
9787,70608,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,10.0,3.5,Easy,4.0,3.6,7-14,312,Master Falls,NZ,42.5929
9788,70610,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,7.0,4.2,Average,4.6,4.6,8-14,341,Flying Jelly Sub,NZ,42.5929
9789,70609,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,6.0,4.4,Easy,4.3,4.2,7-14,341,Manta Ray Bomber,NZ,42.5929
9790,70638,blah,blahblah,NINJAGO®,3.0,5.0,Average,5.0,5.0,7-14,257,Katana V11,NZ,28.3929
9791,70629,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,8.0,4.1,Easy,3.6,4.1,7-14,217,Piranha Attack,NZ,28.3929
9792,70607,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,18.0,4.6,Easy,4.6,4.5,7-14,233,NINJAGO® City Chase,NZ,28.3929
9793,70606,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,11.0,4.5,Easy,4.7,4.8,6-14,109,Spinjitzu Training,NZ,14.192899999999998
9794,70628,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,1.0,5.0,Very Easy,5.0,5.0,6-14,48,Lloyd - Spinjitzu Master,NZ,12.772899999999998
9795,70633,blah,blahblah,NINJAGO®,,,nan,,,6-14,61,Kai - Spinjitzu Master,NZ,12.772899999999998
9796,70635,blah,blahblah,NINJAGO®,1.0,4.0,Very Easy,4.0,3.0,6-14,68,Jay - Spinjitzu Master,NZ,12.772899999999998
9797,70637,blah,blahblah,NINJAGO®,2.0,5.0,Easy,5.0,3.5,6-14,73,Cole - Spinjitzu Master,NZ,12.772899999999998
